player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104728,Andemir Karanashev,Andemir,Karanashev,R,19860509.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
104730,Ajai Selvaraj,Ajai,Selvaraj,R,19860518.0,IND,,,,,,,,,0,0,0,0,0-0,,False
104732,Phillip Simmonds,Phillip,Simmonds,R,19860518.0,USA,,Q7185814,,,,,,,0,0,0,0,0-0,,False
104733,Greg Ouellette,Greg,Ouellette,U,19860519.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104734,Max Jones,Max,Jones,R,19860521.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104737,Saso Bende,Saso,Bende,R,19860524.0,SLO,,,,,,,,,0,0,0,0,0-0,,False
104740,Steven Moneke,Steven,Moneke,R,19860527.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104741,Dong Whee Choi,Dong Whee,Choi,U,19860528.0,KOR,,,,,,,,,0,0,0,0,0-0,,False
104742,Jose Luis Muguruza,Jose Luis,Muguruza,L,19860530.0,ARU,,,,,,,,,0,0,0,0,0-0,,False
104743,Kamil Capkovic,Kamil,Capkovic,R,19860602.0,SVK,198.0,Q3488136,,,,,,,0,0,0,0,0-0,,False
104744,Gaston Arturo Grimolizzi,Gaston Arturo,Grimolizzi,U,19860603.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104746,Vincent Stouff,Vincent,Stouff,U,19860603.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104747,Tom Rushby,Tom,Rushby,R,19860604.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104748,Aleksandar Grubin,Aleksandar,Grubin,L,19860605.0,SRB,,,,,,,,,0,0,0,0,0-0,,False
104749,Kaden Hensel,Kaden,Hensel,U,19860605.0,AUS,,Q26210785,,,,,,,0,0,0,0,0-0,,False
104750,Patrick Prader,Patrick,Prader,R,19860605.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104751,Konstantin Kremeshkov,Konstantin,Kremeshkov,U,19860608.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
104752,Dilshod Sharifi,Dilshod,Sharifi,R,19860612.0,TJK,,,,,,,,,0,0,0,0,0-0,,False
104754,Adolfo Gomez Pinter,Adolfo,Gomez Pinter,U,19860617.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
